User_ID,Timestamp,HR_Identification,AI_Warning
USER_163494,1021.98ms,"User continuously looked at Up Side 7 times at timestamps [760.11ms, 800.79ms, 844.42ms, 881.37ms, 929.61ms, 989.36ms, 1021.98ms]",WARNING: Repeated upward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,4024.02ms,"User continuously looked at Up Side 33 times at timestamps [3656.01ms, 3702.44ms, 3732.93ms, 3761.92ms, 3790.35ms, 3824.28ms, 3857.91ms, 3892.34ms, 3926.46ms, 3959.58ms, 3987.11ms, 4024.02ms...]",WARNING: Repeated upward gaze detected (33 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,7058.90ms,"User continuously looked at Up Side 94 times at timestamps [6685.76ms, 6723.64ms, 6752.78ms, 6790.68ms, 6821.89ms, 6858.93ms, 6895.08ms, 6927.73ms, 6959.31ms, 6992.41ms, 7021.95ms, 7058.90ms...]",WARNING: Repeated upward gaze detected (94 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,10085.17ms,"User continuously looked at Up Side 7 times at timestamps [9884.73ms, 9921.30ms, 9957.00ms, 9990.61ms, 10022.70ms, 10053.25ms, 10085.17ms]",WARNING: Repeated upward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,13096.07ms,"User continuously looked at Right Side 32 times at timestamps [12768.81ms, 12796.79ms, 12825.81ms, 12856.80ms, 12888.62ms, 12921.92ms, 12952.77ms, 12977.69ms, 13005.38ms, 13035.49ms, 13066.29ms, 13096.07ms...]",WARNING: Repeated rightward gaze detected (32 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,16128.69ms,"User continuously looked at Up Side 60 times at timestamps [15763.33ms, 15790.36ms, 15821.42ms, 15849.08ms, 15882.59ms, 15915.74ms, 15953.14ms, 15984.48ms, 16015.87ms, 16052.98ms, 16087.85ms, 16128.69ms...]",WARNING: Repeated upward gaze detected (60 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,19132.41ms,"User continuously looked at Right Side 9 times at timestamps [18864.16ms, 18894.85ms, 18922.65ms, 18962.94ms, 19007.83ms, 19040.90ms, 19071.72ms, 19099.95ms, 19132.41ms]",WARNING: Repeated rightward gaze detected (9 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,22133.24ms,"User continuously looked at Right Side 88 times at timestamps [21754.74ms, 21787.38ms, 21824.62ms, 21863.72ms, 21903.38ms, 21930.55ms, 21965.48ms, 22001.32ms, 22039.82ms, 22073.54ms, 22102.45ms, 22133.24ms...]",WARNING: Repeated rightward gaze detected (88 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,25159.34ms,"User continuously looked at Right Side 143 times at timestamps [24145.81ms, 24179.49ms, 24211.55ms, 24239.20ms, 24274.31ms, 24304.92ms, 24981.49ms, 25028.58ms, 25056.54ms, 25088.67ms, 25125.25ms, 25159.34ms...]",WARNING: Repeated rightward gaze detected (143 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,28163.82ms,"User continuously looked at Right Side 212 times at timestamps [27718.11ms, 27751.28ms, 27783.69ms, 27819.16ms, 27844.03ms, 27866.24ms, 27898.36ms, 27930.70ms, 27960.90ms, 28077.28ms, 28128.16ms, 28163.82ms...]",WARNING: Repeated rightward gaze detected (212 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,31371.74ms,"User continuously looked at Right Side 7 times at timestamps [31141.63ms, 31176.12ms, 31223.42ms, 31266.78ms, 31300.27ms, 31337.41ms, 31371.74ms]",WARNING: Repeated rightward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,34388.56ms,"User continuously looked at Right Side 81 times at timestamps [34023.67ms, 34061.32ms, 34095.05ms, 34124.48ms, 34153.97ms, 34191.04ms, 34219.08ms, 34250.45ms, 34289.17ms, 34324.24ms, 34352.32ms, 34388.56ms...]",WARNING: Repeated rightward gaze detected (81 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,37418.10ms,"User continuously looked at Right Side 142 times at timestamps [37034.33ms, 37073.12ms, 37110.46ms, 37144.53ms, 37188.13ms, 37217.31ms, 37248.57ms, 37281.95ms, 37316.88ms, 37356.19ms, 37387.00ms, 37418.10ms...]",WARNING: Repeated rightward gaze detected (142 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,40445.39ms,"User continuously looked at Right Side 26 times at timestamps [40090.79ms, 40124.85ms, 40152.97ms, 40180.58ms, 40218.77ms, 40246.42ms, 40281.82ms, 40313.05ms, 40345.46ms, 40379.54ms, 40416.66ms, 40445.39ms...]",WARNING: Repeated rightward gaze detected (26 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,43456.85ms,"User continuously looked at Up Side 62 times at timestamps [43126.14ms, 43153.02ms, 43175.18ms, 43199.38ms, 43223.87ms, 43281.18ms, 43309.59ms, 43334.62ms, 43363.14ms, 43397.59ms, 43426.14ms, 43456.85ms...]",WARNING: Repeated upward gaze detected (62 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,47016.77ms,"User continuously looked at Up Side 48 times at timestamps [46113.10ms, 46147.89ms, 46179.07ms, 46221.79ms, 46253.95ms, 46284.27ms, 46320.28ms, 46349.19ms, 46381.73ms, 46421.61ms, 46454.75ms, 47016.77ms...]",WARNING: Repeated upward gaze detected (48 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,50046.21ms,"User continuously looked at Right Side 20 times at timestamps [49687.07ms, 49718.20ms, 49751.90ms, 49796.08ms, 49827.30ms, 49859.47ms, 49887.09ms, 49916.74ms, 49950.02ms, 49980.31ms, 50014.51ms, 50046.21ms...]",WARNING: Repeated rightward gaze detected (20 times). Possible off-screen source inspection. Snapshot captured.
USER_163494,53080.09ms,"User continuously looked at Up Side 14 times at timestamps [52187.71ms, 52215.89ms, 52261.00ms, 52291.41ms, 52324.52ms, 52357.30ms, 52389.89ms, 52422.64ms, 52453.17ms, 52484.04ms, 52515.91ms, 53080.09ms...]",WARNING: Repeated upward gaze detected (14 times). Possible off-screen source inspection. Snapshot captured.
USER_258941,12355.20ms,"User continuously looked at Right Side 7 times at timestamps [12182.02ms, 12208.00ms, 12236.28ms, 12267.99ms, 12296.44ms, 12326.52ms, 12355.20ms]",WARNING: Repeated rightward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
USER_9033E9,59706.23ms,"User continuously looked at Down Side 7 times at timestamps [59507.85ms, 59539.24ms, 59569.90ms, 59606.96ms, 59642.04ms, 59672.49ms, 59706.23ms]",WARNING: Repeated downward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
USER_9033E9,65905.62ms,"User continuously looked at Down Side 7 times at timestamps [65705.78ms, 65734.27ms, 65770.60ms, 65804.63ms, 65839.54ms, 65871.55ms, 65905.62ms]",WARNING: Repeated downward gaze detected (7 times). Possible off-screen source inspection. Snapshot captured.
